风机名,状态码值,状态码描述,激活时间,复位时间
,30206,系统故障, 2019-06-04 10:17:59:005, 2019-06-04 10:18:37:085
,30903,变流器故障（硬件DI）, 2019-06-04 11:39:46:205, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-04 11:45:44:586, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-04 12:01:15:031, 0000-00-00 00:00:00:000
,170202,发电机冷却水泵B保护, 2019-06-04 12:06:51:855, 2019-06-04 12:12:20:187
,80040,齿轮箱润滑油压力异常, 2019-06-04 12:58:21:827, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-05 07:37:25:594, 2019-06-05 07:38:50:114
,70096,发电机滑环风扇保护, 2019-06-05 08:06:08:376, 0000-00-00 00:00:00:000
,140012,风轮锁定2未解锁, 2019-06-05 08:19:07:133, 2019-06-05 09:09:59:252
,60100,偏航电机总保护, 2019-06-05 08:27:46:678, 2019-06-05 08:50:04:766
,30903,变流器故障（硬件DI）, 2019-06-05 19:00:29:092, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-05 21:42:44:946, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-05 22:40:25:607, 2019-06-05 22:42:00:867
,220011,紧急停机超时, 2019-06-06 04:32:29:616, 2019-06-06 04:42:22:511
,70031,电机冷却水温度超限, 2019-06-06 06:57:35:958, 2019-06-06 06:58:49:398
,70031,电机冷却水温度超限, 2019-06-06 08:47:58:353, 2019-06-06 08:51:07:153
,70031,电机冷却水温度超限, 2019-06-06 09:39:56:800, 2019-06-06 10:13:54:839
,70031,电机冷却水温度超限, 2019-06-06 16:14:41:447, 2019-06-06 16:16:51:292
,70031,电机冷却水温度超限, 2019-06-06 16:42:05:891, 0000-00-00 00:00:00:000
,70031,电机冷却水温度超限, 2019-06-06 17:08:05:351, 2019-06-06 17:12:37:562
,70031,电机冷却水温度超限, 2019-06-06 17:51:28:233, 2019-06-06 17:57:10:366
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 17:59:21:771, 2019-06-06 18:34:22:811
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 18:36:34:576, 2019-06-06 18:39:52:664
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 18:42:05:169, 2019-06-06 18:43:55:973
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 20:26:25:670, 2019-06-06 20:32:02:503
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 20:34:36:889, 2019-06-06 20:40:56:324
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 21:15:29:045, 2019-06-06 21:23:16:263
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 21:25:27:408, 2019-06-06 21:28:08:334
,300670,变桨系统桨距角两两偏差超限, 2019-06-06 21:30:03:419, 2019-06-06 23:43:27:331
,30206,系统故障, 2019-06-06 23:23:52:489, 2019-06-06 23:37:05:649
,300683,变桨系统轴3桨距角偏差超限, 2019-06-06 23:25:36:847, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-07 00:35:34:899, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-06-07 02:55:26:819, 2019-06-07 03:15:40:554
,60004,自动解缆, 2019-06-07 03:18:10:438, 2019-06-07 03:47:10:465
,30903,变流器故障（硬件DI）, 2019-06-07 06:07:34:520, 2019-06-07 06:16:56:841
,60004,自动解缆, 2019-06-07 10:06:12:633, 2019-06-07 12:14:55:977
,800001,塔底紧停开关触发, 2019-06-07 12:15:56:180, 2019-06-07 12:16:01:820
,80072,齿轮箱润滑油泵马达保护, 2019-06-07 12:41:37:861, 2019-06-07 12:53:24:509
,20032,自检程序3转速故障2, 2019-06-07 13:11:07:931, 2019-06-07 13:22:46:859
,60004,自动解缆, 2019-06-07 15:31:50:886, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-07 18:56:29:310, 2019-06-07 18:59:50:182
,60006,偏航齿润滑, 2019-06-08 01:53:27:847, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-08 03:10:04:052, 2019-06-08 03:58:03:691
,60006,偏航齿润滑, 2019-06-08 03:55:34:661, 2019-06-08 05:05:29:796
,60006,偏航齿润滑, 2019-06-08 04:53:53:348, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-08 06:17:51:468, 2019-06-08 06:27:27:348
,70096,发电机滑环风扇保护, 2019-06-08 09:43:22:182, 2019-06-08 16:46:24:724
,70096,发电机滑环风扇保护, 2019-06-08 09:45:12:306, 2019-06-08 10:03:59:169
,80051,齿轮箱滤芯100%污染, 2019-06-08 10:05:50:409, 2019-06-08 10:10:00:941
,30903,变流器故障（硬件DI）, 2019-06-08 17:28:15:349, 2019-06-12 14:23:39:812
,190011,发电机定子避雷器保护动作, 2019-06-08 19:40:07:670, 2019-06-08 19:41:46:874
,190011,发电机定子避雷器保护动作, 2019-06-08 22:35:50:306, 2019-06-08 22:42:28:281
,190011,发电机定子避雷器保护动作, 2019-06-08 22:51:18:763, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-06-09 00:03:39:733, 0000-00-00 00:00:00:000
,160001,塔底消防控制系统故障, 2019-06-09 09:24:11:413, 2019-06-09 09:25:31:593
,30903,变流器故障（硬件DI）, 2019-06-09 10:50:19:157, 2019-06-09 10:53:29:437
,30903,变流器故障（硬件DI）, 2019-06-09 13:40:50:943, 2019-06-09 13:44:52:663
,30903,变流器故障（硬件DI）, 2019-06-10 00:33:18:639, 2019-06-10 00:48:03:159
,80075,齿轮箱冷却风扇保护, 2019-06-10 10:45:26:356, 2019-06-10 12:18:51:489
,30903,变流器故障（硬件DI）, 2019-06-11 08:29:44:056, 0000-00-00 00:00:00:000
,30011,转子脉冲故障, 2019-06-11 11:23:46:555, 2019-06-11 11:25:48:375
,30903,变流器故障（硬件DI）, 2019-06-11 18:43:18:320, 2019-06-11 19:07:10:297
,140011,风轮锁定1未解锁, 2019-06-12 11:05:46:777, 2019-06-12 14:37:00:591
,70096,发电机滑环风扇保护, 2019-06-12 11:54:40:513, 2019-06-12 12:05:18:927
,30903,变流器故障（硬件DI）, 2019-06-12 14:58:08:382, 2019-06-12 14:59:38:702
,300706,变桨系统轴2手动维护模式, 2019-06-12 16:10:45:516, 2019-06-12 17:23:06:280
,220011,紧急停机超时, 2019-06-12 18:10:41:484, 2019-06-12 19:31:19:364
,300332,变桨系统轴2冗余24V电源模块报警, 2019-06-13 10:59:43:430, 2019-06-13 11:18:05:863
,650001,航灯保护, 2019-06-13 15:39:23:285, 2019-06-15 08:32:12:300
,30903,变流器故障（硬件DI）, 2019-06-13 19:02:57:218, 2019-06-13 19:05:21:738
,30903,变流器故障（硬件DI）, 2019-06-13 19:23:49:938, 2019-06-13 19:43:16:777
,30903,变流器故障（硬件DI）, 2019-06-13 20:20:51:276, 2019-06-13 20:50:24:276
,30903,变流器故障（硬件DI）, 2019-06-13 20:32:49:367, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-06-14 20:59:51:738, 2019-06-14 21:01:25:678
,300682,变桨系统轴2桨距角偏差超限, 2019-06-14 23:37:24:902, 2019-06-14 23:42:09:942
,30903,变流器故障（硬件DI）, 2019-06-15 01:37:00:254, 2019-06-15 01:49:48:095
,30903,变流器故障（硬件DI）, 2019-06-15 01:37:40:269, 2019-06-15 01:47:55:209
,30903,变流器故障（硬件DI）, 2019-06-15 03:21:44:728, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-15 03:45:38:214, 2019-06-15 04:57:11:309
,30903,变流器故障（硬件DI）, 2019-06-15 03:50:37:980, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-15 04:53:06:423, 2019-06-15 04:59:32:163
,30903,变流器故障（硬件DI）, 2019-06-15 07:19:31:122, 2019-06-15 07:21:44:342
,30903,变流器故障（硬件DI）, 2019-06-15 07:24:39:129, 2019-06-15 07:26:42:129
,30903,变流器故障（硬件DI）, 2019-06-15 07:26:54:109, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-06-15 09:01:32:548, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-06-15 09:43:28:245, 2019-06-15 11:10:51:098
,300681,变桨系统轴1桨距角偏差超限, 2019-06-15 09:57:10:201, 2019-06-15 09:59:08:433
,70072,发电机接地电刷故障, 2019-06-15 10:20:59:438, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-15 13:56:54:259, 2019-06-15 14:09:41:879
,30903,变流器故障（硬件DI）, 2019-06-15 14:56:26:781, 2019-06-15 15:00:20:261
,30903,变流器故障（硬件DI）, 2019-06-15 22:30:38:043, 2019-06-15 22:36:35:463
,30903,变流器故障（硬件DI）, 2019-06-15 23:13:29:169, 2019-06-15 23:15:10:989
,30903,变流器故障（硬件DI）, 2019-06-15 23:19:23:540, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-15 23:58:22:419, 2019-06-16 00:08:28:419
,80072,齿轮箱润滑油泵马达保护, 2019-06-16 09:21:21:565, 2019-06-16 10:14:15:374
,300682,变桨系统轴2桨距角偏差超限, 2019-06-16 11:27:43:819, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-16 11:28:18:331, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-16 11:31:40:396, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-16 11:39:42:196, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-16 11:40:58:665, 2019-06-16 11:46:11:745
,30903,变流器故障（硬件DI）, 2019-06-16 16:08:52:876, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-16 16:33:47:821, 2019-06-16 16:40:03:862
,30903,变流器故障（硬件DI）, 2019-06-16 16:43:30:834, 2019-06-16 16:44:49:034
,30903,变流器故障（硬件DI）, 2019-06-17 08:20:28:837, 2019-06-17 08:23:28:617
,30903,变流器故障（硬件DI）, 2019-06-17 08:26:29:508, 2019-06-17 08:34:38:209
,30903,变流器故障（硬件DI）, 2019-06-17 09:51:38:416, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-06-17 11:27:54:977, 2019-06-17 11:46:26:800
,30903,变流器故障（硬件DI）, 2019-06-17 13:12:56:092, 2019-06-17 13:15:59:412
,300681,变桨系统轴1桨距角偏差超限, 2019-06-17 14:23:41:228, 2019-06-17 14:30:14:228
,300681,变桨系统轴1桨距角偏差超限, 2019-06-17 14:41:26:782, 0000-00-00 00:00:00:000
,220011,紧急停机超时, 2019-06-17 21:37:42:874, 2019-06-17 21:38:56:914
,300681,变桨系统轴1桨距角偏差超限, 2019-06-17 22:08:47:806, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-18 03:11:57:002, 2019-06-18 03:13:31:776
,300670,变桨系统桨距角两两偏差超限, 2019-06-18 03:36:00:922, 2019-06-18 03:37:09:642
,300681,变桨系统轴1桨距角偏差超限, 2019-06-18 03:49:40:514, 2019-06-18 03:50:55:714
,300681,变桨系统轴1桨距角偏差超限, 2019-06-18 03:59:42:188, 2019-06-18 04:02:27:928
,300670,变桨系统桨距角两两偏差超限, 2019-06-18 04:10:48:280, 2019-06-18 04:28:36:506
,300670,变桨系统桨距角两两偏差超限, 2019-06-18 04:33:08:126, 2019-06-18 05:48:36:052
,300670,变桨系统桨距角两两偏差超限, 2019-06-18 05:51:26:012, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-18 21:10:26:952, 2019-06-18 21:22:52:507
,30903,变流器故障（硬件DI）, 2019-06-19 09:34:29:218, 2019-06-19 09:44:25:139
,30000,转子侧逆变器故障, 2019-06-19 09:36:33:735, 2019-06-19 09:38:41:720
,70096,发电机滑环风扇保护, 2019-06-19 09:39:42:841, 0000-00-00 00:00:00:000
,140012,风轮锁定2未解锁, 2019-06-19 09:53:54:631, 2019-06-19 11:39:51:214
,270005,机舱散热器保护, 2019-06-19 10:04:50:214, 2019-06-19 11:23:11:425
,300670,变桨系统桨距角两两偏差超限, 2019-06-19 13:02:58:594, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-19 14:26:33:100, 2019-06-19 14:28:30:180
,30903,变流器故障（硬件DI）, 2019-06-19 14:29:48:228, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-19 14:30:34:312, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-19 14:55:10:859, 2019-06-19 14:56:17:539
,300670,变桨系统桨距角两两偏差超限, 2019-06-19 14:56:59:132, 0000-00-00 00:00:00:000
,220002,正常或快速停机超时2, 2019-06-19 15:05:46:677, 2019-06-19 15:08:01:169
,30903,变流器故障（硬件DI）, 2019-06-19 15:12:11:015, 2019-06-19 15:14:30:015
,300682,变桨系统轴2桨距角偏差超限, 2019-06-19 15:21:41:319, 2019-06-19 16:33:18:203
,300681,变桨系统轴1桨距角偏差超限, 2019-06-19 15:34:33:690, 2019-06-19 15:35:55:430
,300670,变桨系统桨距角两两偏差超限, 2019-06-19 16:41:06:043, 2019-06-19 17:20:49:854
,300681,变桨系统轴1桨距角偏差超限, 2019-06-19 19:07:59:813, 2019-06-19 19:11:47:973
,30903,变流器故障（硬件DI）, 2019-06-19 23:29:17:081, 2019-06-19 23:48:06:142
,30903,变流器故障（硬件DI）, 2019-06-20 08:03:46:305, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-06-20 08:14:32:747, 0000-00-00 00:00:00:000
,70059,发电机冷却风扇保护, 2019-06-20 08:56:49:026, 2019-06-20 09:46:05:322
,80072,齿轮箱润滑油泵马达保护, 2019-06-20 09:13:47:360, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-20 10:18:49:340, 2019-06-20 10:20:50:660
,300670,变桨系统桨距角两两偏差超限, 2019-06-20 11:48:50:164, 2019-06-20 12:36:45:646
,80075,齿轮箱冷却风扇保护, 2019-06-20 13:22:06:607, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-06-20 14:20:44:750, 2019-06-20 14:20:51:530
,30903,变流器故障（硬件DI）, 2019-06-21 04:20:49:416, 2019-06-21 04:53:33:132
,30903,变流器故障（硬件DI）, 2019-06-21 05:22:56:711, 2019-06-21 07:50:50:740
,650001,航灯保护, 2019-06-21 18:22:17:872, 2019-06-21 18:31:18:624
,30903,变流器故障（硬件DI）, 2019-06-21 18:43:42:348, 2019-06-22 11:13:55:908
,80072,齿轮箱润滑油泵马达保护, 2019-06-22 08:25:28:095, 2019-06-22 13:35:50:345
,70096,发电机滑环风扇保护, 2019-06-22 09:06:06:646, 2019-06-22 10:25:45:576
,80072,齿轮箱润滑油泵马达保护, 2019-06-22 09:18:10:460, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-22 11:13:42:986, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-06-22 14:02:50:390, 2019-06-22 15:14:43:464
,30903,变流器故障（硬件DI）, 2019-06-22 14:05:15:368, 2019-06-22 14:46:11:112
,300681,变桨系统轴1桨距角偏差超限, 2019-06-22 22:21:38:837, 2019-06-22 22:40:13:902
,300670,变桨系统桨距角两两偏差超限, 2019-06-22 23:38:44:504, 2019-06-23 06:58:22:124
,30903,变流器故障（硬件DI）, 2019-06-23 08:20:27:224, 0000-00-00 00:00:00:000
,130461,变桨400VAC供电保护, 2019-06-23 10:47:08:926, 2019-06-23 11:01:44:830
,80072,齿轮箱润滑油泵马达保护, 2019-06-24 08:54:52:401, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-25 07:17:45:530, 2019-06-25 07:50:37:528
,30903,变流器故障（硬件DI）, 2019-06-25 08:10:40:886, 2019-06-25 08:18:47:026
,30903,变流器故障（硬件DI）, 2019-06-25 08:23:27:726, 2019-06-25 08:32:34:165
,30903,变流器故障（硬件DI）, 2019-06-25 08:35:11:605, 2019-06-25 08:36:42:725
,30903,变流器故障（硬件DI）, 2019-06-25 08:39:39:285, 2019-06-25 10:55:37:413
,30903,变流器故障（硬件DI）, 2019-06-25 11:59:42:185, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-25 17:32:00:467, 2019-06-25 17:33:01:007
,300681,变桨系统轴1桨距角偏差超限, 2019-06-25 17:45:23:151, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-25 17:53:27:559, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-25 17:58:45:062, 2019-06-25 18:28:10:139
,300681,变桨系统轴1桨距角偏差超限, 2019-06-25 18:04:05:664, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-25 23:19:11:811, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-26 03:28:55:522, 2019-06-26 05:15:01:467
,30903,变流器故障（硬件DI）, 2019-06-26 06:59:19:732, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-26 07:55:47:517, 0000-00-00 00:00:00:000
,80075,齿轮箱冷却风扇保护, 2019-06-26 08:09:28:826, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-06-26 08:31:20:946, 2019-06-26 10:43:09:006
,30903,变流器故障（硬件DI）, 2019-06-26 09:01:56:688, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-06-26 12:35:27:005, 2019-06-26 15:29:56:862
,800017,偏航扭缆限位开关动作, 2019-06-26 13:52:35:274, 2019-06-26 13:55:08:214
,30903,变流器故障（硬件DI）, 2019-06-26 14:19:18:449, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-26 15:25:35:037, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-27 01:23:16:954, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-06-27 06:59:05:953, 2019-06-27 07:02:03:640
,300670,变桨系统桨距角两两偏差超限, 2019-06-27 07:46:33:823, 2019-06-27 08:18:59:618
,70096,发电机滑环风扇保护, 2019-06-27 08:30:05:064, 2019-06-27 09:24:23:692
,70096,发电机滑环风扇保护, 2019-06-27 09:38:11:712, 0000-00-00 00:00:00:000
,130101,塔底控制柜UPS1电池故障, 2019-06-27 10:36:48:966, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-27 15:03:41:790, 2019-06-27 15:06:52:470
,300682,变桨系统轴2桨距角偏差超限, 2019-06-27 21:30:00:356, 2019-06-27 21:40:04:368
,30903,变流器故障（硬件DI）, 2019-06-28 07:56:56:872, 0000-00-00 00:00:00:000
,300321,变桨系统轴1熔断器断开, 2019-06-28 09:45:21:869, 2019-06-28 10:28:06:774
,140011,风轮锁定1未解锁, 2019-06-28 10:04:31:895, 2019-06-28 11:35:48:762
,30903,变流器故障（硬件DI）, 2019-06-28 11:52:42:708, 2019-06-28 13:18:36:001
,30903,变流器故障（硬件DI）, 2019-06-28 13:44:09:742, 0000-00-00 00:00:00:000
,270051,机舱散热器压差开关1异常, 2019-06-29 08:58:44:836, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-06-29 10:57:30:697, 2019-06-29 10:59:12:817
,300681,变桨系统轴1桨距角偏差超限, 2019-06-29 11:10:29:320, 2019-06-29 11:11:18:940
,300681,变桨系统轴1桨距角偏差超限, 2019-06-29 11:58:30:851, 2019-06-29 12:00:24:823
,50033,液压站1主压力过低, 2019-06-29 18:44:32:888, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-29 18:49:26:457, 0000-00-00 00:00:00:000
,50033,液压站1主压力过低, 2019-06-29 18:57:14:335, 2019-06-30 11:12:49:657
,30903,变流器故障（硬件DI）, 2019-06-30 00:23:25:924, 2019-06-30 00:25:29:584
,30903,变流器故障（硬件DI）, 2019-06-30 00:50:09:944, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-30 01:55:14:827, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-06-30 04:09:54:076, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-30 05:27:08:572, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-30 06:31:42:137, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-30 06:31:42:385, 2019-06-30 06:38:57:185
,30101,线电压欠压, 2019-06-30 06:34:11:455, 2019-06-30 06:44:59:979
,300682,变桨系统轴2桨距角偏差超限, 2019-06-30 06:38:31:877, 2019-06-30 06:41:42:119
,80072,齿轮箱润滑油泵马达保护, 2019-06-30 10:17:52:973, 2019-06-30 10:37:16:554
,30903,变流器故障（硬件DI）, 2019-06-30 10:45:22:276, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-06-30 11:12:58:797, 2019-06-30 11:35:09:483
,70096,发电机滑环风扇保护, 2019-06-30 11:20:53:490, 2019-06-30 11:29:21:623
,30903,变流器故障（硬件DI）, 2019-06-30 11:41:48:556, 2019-06-30 12:02:03:964
,30903,变流器故障（硬件DI）, 2019-06-30 13:04:47:423, 2019-06-30 13:06:43:323
,30903,变流器故障（硬件DI）, 2019-06-30 16:57:30:052, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-01 01:49:40:215, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-01 03:21:19:715, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-07-01 03:48:38:224, 2019-07-01 03:59:09:488
,30903,变流器故障（硬件DI）, 2019-07-01 06:18:00:821, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-07-01 10:12:38:727, 2019-07-01 10:43:45:181
,30903,变流器故障（硬件DI）, 2019-07-01 20:58:56:341, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-01 22:56:14:442, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-03 05:55:23:888, 0000-00-00 00:00:00:000
,80080,齿轮箱冷却水泵保护, 2019-07-04 09:34:38:758, 0000-00-00 00:00:00:000
,60100,偏航电机总保护, 2019-07-04 09:53:27:105, 0000-00-00 00:00:00:000
,220002,正常或快速停机超时2, 2019-07-04 15:12:18:829, 2019-07-04 15:23:44:391
,80072,齿轮箱润滑油泵马达保护, 2019-07-05 09:16:27:746, 2019-07-05 11:57:59:792
,20032,自检程序3转速故障2, 2019-07-05 09:58:49:054, 2019-07-05 15:59:29:902
,30903,变流器故障（硬件DI）, 2019-07-05 12:24:33:788, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-07-05 16:51:56:428, 2019-07-05 16:53:30:551
,300681,变桨系统轴1桨距角偏差超限, 2019-07-06 00:04:12:079, 2019-07-06 00:04:49:074
,60004,自动解缆, 2019-07-06 00:09:39:206, 2019-07-06 00:20:28:406
,60100,偏航电机总保护, 2019-07-06 09:02:21:412, 0000-00-00 00:00:00:000
,80080,齿轮箱冷却水泵保护, 2019-07-06 09:10:30:921, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-06 22:40:27:699, 2019-07-07 07:15:59:389
,300683,变桨系统轴3桨距角偏差超限, 2019-07-07 05:03:22:133, 2019-07-07 05:04:24:633
,300681,变桨系统轴1桨距角偏差超限, 2019-07-07 06:00:12:289, 2019-07-07 06:02:27:849
,60006,偏航齿润滑, 2019-07-07 06:35:38:433, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-07-07 06:53:46:551, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-07-07 08:00:55:485, 2019-07-07 08:31:43:381
,30903,变流器故障（硬件DI）, 2019-07-07 08:15:30:827, 2019-07-07 12:24:09:767
,300670,变桨系统桨距角两两偏差超限, 2019-07-07 22:16:11:225, 2019-07-07 22:36:14:440
,300670,变桨系统桨距角两两偏差超限, 2019-07-08 04:32:57:989, 2019-07-08 04:39:09:983
,300670,变桨系统桨距角两两偏差超限, 2019-07-08 04:41:26:808, 2019-07-08 04:48:32:665
,300670,变桨系统桨距角两两偏差超限, 2019-07-08 04:50:45:690, 2019-07-08 04:52:44:535
,300670,变桨系统桨距角两两偏差超限, 2019-07-08 04:54:57:600, 2019-07-08 06:40:58:105
,60005,手动偏航, 2019-07-08 09:04:12:124, 2019-07-08 09:56:03:284
,80072,齿轮箱润滑油泵马达保护, 2019-07-08 09:20:50:464, 2019-07-08 10:24:31:895
,800002,机舱紧停开关触发, 2019-07-08 09:32:15:284, 2019-07-08 10:45:26:433
,650001,航灯保护, 2019-07-08 11:53:42:903, 2019-07-08 13:13:21:114
,300670,变桨系统桨距角两两偏差超限, 2019-07-08 12:25:26:725, 2019-07-08 12:27:05:329
,300670,变桨系统桨距角两两偏差超限, 2019-07-08 12:27:19:150, 2019-07-08 12:27:33:170
,50033,液压站1主压力过低, 2019-07-09 04:43:04:630, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-09 18:29:16:757, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-09 20:52:57:067, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-09 23:26:25:818, 0000-00-00 00:00:00:000
,50033,液压站1主压力过低, 2019-07-10 12:31:43:103, 2019-07-10 13:21:41:169
,50002,液压泵保护, 2019-07-11 08:06:20:891, 2019-07-11 08:20:02:133
,70096,发电机滑环风扇保护, 2019-07-11 08:24:31:893, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-07-11 15:46:25:012, 2019-07-11 15:53:37:889
,300670,变桨系统桨距角两两偏差超限, 2019-07-11 15:54:14:251, 2019-07-11 17:03:05:736
,60005,手动偏航, 2019-07-12 08:26:56:875, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-07-12 13:33:31:217, 0000-00-00 00:00:00:000
,30115,变流器通讯故障, 2019-07-12 14:40:57:706, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-12 18:21:13:061, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-12 19:56:23:396, 2019-07-12 20:00:22:851
,30903,变流器故障（硬件DI）, 2019-07-12 20:38:45:711, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-07-13 01:17:11:069, 0000-00-00 00:00:00:000
,220011,紧急停机超时, 2019-07-13 22:13:38:071, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-07-14 09:25:14:365, 2019-07-14 11:30:11:984
,60006,偏航齿润滑, 2019-07-14 20:19:17:184, 2019-07-14 20:29:35:355
,60006,偏航齿润滑, 2019-07-15 00:28:07:059, 2019-07-15 00:38:08:157
,60006,偏航齿润滑, 2019-07-15 00:40:21:467, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-07-15 00:40:24:868, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-07-15 00:42:16:796, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-07-15 00:44:16:759, 2019-07-15 01:32:46:063
,300681,变桨系统轴1桨距角偏差超限, 2019-07-15 08:59:12:141, 2019-07-15 09:14:32:701
,70096,发电机滑环风扇保护, 2019-07-15 09:18:08:353, 2019-07-15 10:42:46:287
,30101,线电压欠压, 2019-07-15 13:59:05:637, 2019-07-15 14:02:33:665
,30101,线电压欠压, 2019-07-15 14:05:15:531, 2019-07-15 14:12:49:688
