风机名,状态码值,状态码描述,激活时间,复位时间
,300682,变桨系统轴2桨距角偏差超限, 2019-04-03 04:22:53:328, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-03 05:27:37:234, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-03 06:09:22:923, 2019-04-03 06:11:34:963
,300670,变桨系统桨距角两两偏差超限, 2019-04-03 06:58:37:649, 0000-00-00 00:00:00:000
,300683,变桨系统轴3桨距角偏差超限, 2019-04-03 07:55:18:742, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-04-03 10:52:46:339, 2019-04-03 11:22:04:189
,300681,变桨系统轴1桨距角偏差超限, 2019-04-03 18:26:47:892, 2019-04-03 18:28:23:312
,300670,变桨系统桨距角两两偏差超限, 2019-04-04 03:01:50:008, 2019-04-04 03:04:35:026
,300670,变桨系统桨距角两两偏差超限, 2019-04-04 03:17:26:985, 2019-04-04 03:18:34:945
,300670,变桨系统桨距角两两偏差超限, 2019-04-04 03:37:15:064, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-04-04 08:27:11:129, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-04-04 09:02:48:502, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-04 13:31:36:240, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-04-04 15:39:47:493, 2019-04-04 15:50:19:627
,20032,自检程序3转速故障2, 2019-04-04 15:54:49:507, 2019-04-04 15:55:51:281
,300670,变桨系统桨距角两两偏差超限, 2019-04-05 08:54:45:422, 2019-04-05 09:01:01:418
,60005,手动偏航, 2019-04-05 09:01:37:278, 2019-04-05 12:38:54:080
,140012,风轮锁定2未解锁, 2019-04-05 09:21:10:557, 2019-04-05 10:34:58:695
,300670,变桨系统桨距角两两偏差超限, 2019-04-05 12:42:14:220, 2019-04-05 12:44:45:820
,300670,变桨系统桨距角两两偏差超限, 2019-04-05 12:47:08:520, 2019-04-05 12:49:50:139
,300670,变桨系统桨距角两两偏差超限, 2019-04-05 12:52:53:599, 2019-04-05 12:54:05:559
,300670,变桨系统桨距角两两偏差超限, 2019-04-05 13:01:59:678, 2019-04-05 13:02:27:278
,140012,风轮锁定2未解锁, 2019-04-05 13:39:58:938, 2019-04-05 15:30:46:375
,30206,系统故障, 2019-04-05 15:03:39:372, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-05 15:13:54:548, 0000-00-00 00:00:00:000
,800002,机舱紧停开关触发, 2019-04-05 15:34:18:254, 2019-04-05 15:35:45:094
,60005,手动偏航, 2019-04-06 08:36:09:013, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-06 14:13:34:645, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-06 16:19:18:281, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-07 00:42:21:502, 2019-04-07 00:52:16:656
,140011,风轮锁定1未解锁, 2019-04-07 08:50:00:927, 2019-04-07 12:46:01:683
,80072,齿轮箱润滑油泵马达保护, 2019-04-07 08:57:23:235, 2019-04-07 09:24:11:705
,70070,发电机主电刷故障, 2019-04-07 09:14:04:435, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-07 09:33:03:521, 2019-04-07 09:34:23:141
,20032,自检程序3转速故障2, 2019-04-07 15:55:47:139, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-07 15:57:53:278, 2019-04-07 15:59:45:833
,30206,系统故障, 2019-04-07 16:11:23:999, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-04-07 17:39:16:770, 2019-04-07 17:49:15:190
,60004,自动解缆, 2019-04-07 22:17:03:375, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-04-07 23:36:03:541, 2019-04-07 23:53:14:114
,60005,手动偏航, 2019-04-08 07:49:38:912, 2019-04-08 10:37:53:215
,80072,齿轮箱润滑油泵马达保护, 2019-04-08 08:29:07:263, 2019-04-08 09:15:40:530
,900101, 塔底DI9371-01模块故障, 2019-04-08 09:19:16:222, 2019-04-08 09:19:18:102
,60005,手动偏航, 2019-04-08 11:47:53:200, 2019-04-08 12:17:47:373
,300670,变桨系统桨距角两两偏差超限, 2019-04-08 20:59:06:741, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-08 22:59:39:100, 2019-04-08 23:09:58:653
,70031,电机冷却水温度超限, 2019-04-09 00:18:48:177, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-09 01:58:02:381, 2019-04-09 02:04:42:596
,30206,系统故障, 2019-04-09 02:18:45:889, 2019-04-09 02:24:38:069
,30206,系统故障, 2019-04-09 02:23:55:343, 0000-00-00 00:00:00:000
,30111,超速, 2019-04-09 03:27:17:768, 2019-04-09 03:32:08:168
,30206,系统故障, 2019-04-09 05:20:43:957, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-04-09 05:58:15:247, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-04-09 06:31:43:058, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-09 06:59:42:902, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-09 08:10:14:080, 2019-04-09 08:17:09:300
,70031,电机冷却水温度超限, 2019-04-09 08:16:50:719, 0000-00-00 00:00:00:000
,70031,电机冷却水温度超限, 2019-04-09 10:22:32:852, 2019-04-09 10:25:50:732
,70031,电机冷却水温度超限, 2019-04-09 10:51:28:998, 2019-04-09 11:02:31:918
,70031,电机冷却水温度超限, 2019-04-09 11:49:42:323, 2019-04-09 12:00:39:643
,70031,电机冷却水温度超限, 2019-04-09 12:23:36:325, 0000-00-00 00:00:00:000
,70031,电机冷却水温度超限, 2019-04-09 12:56:27:224, 2019-04-09 13:07:31:164
,70031,电机冷却水温度超限, 2019-04-09 13:33:55:224, 2019-04-09 13:45:01:644
,30206,系统故障, 2019-04-09 14:00:39:045, 0000-00-00 00:00:00:000
,70031,电机冷却水温度超限, 2019-04-09 14:07:33:984, 0000-00-00 00:00:00:000
,170102,暴风, 2019-04-09 14:21:22:409, 2019-04-09 14:26:14:789
,170030,风向与机舱偏差超限, 2019-04-09 14:24:25:773, 2019-04-09 14:33:25:673
,170102,暴风, 2019-04-09 14:24:58:177, 2019-04-09 14:25:17:757
,170102,暴风, 2019-04-09 14:30:49:483, 2019-04-09 14:36:41:863
,60004,自动解缆, 2019-04-09 14:50:49:568, 2019-04-09 15:14:43:768
,30206,系统故障, 2019-04-09 19:02:13:035, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-09 20:36:22:726, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-09 21:55:10:271, 2019-04-09 21:58:05:291
,30206,系统故障, 2019-04-09 22:12:13:794, 0000-00-00 00:00:00:000
,300103,变桨系统轴3的电池主开关断开, 2019-04-09 23:26:37:761, 2019-04-11 09:41:57:626
,30206,系统故障, 2019-04-10 01:43:27:483, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-10 01:54:04:132, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-10 02:01:25:874, 2019-04-10 02:05:10:734
,30206,系统故障, 2019-04-10 02:19:34:674, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-10 04:43:38:651, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-10 08:56:47:235, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-11 02:34:56:791, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-11 02:36:20:378, 0000-00-00 00:00:00:000
,30112,欠速, 2019-04-11 04:37:32:255, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-11 04:57:34:845, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-11 05:54:01:106, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-04-11 09:50:21:755, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-04-11 10:08:51:833, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-11 16:10:47:980, 0000-00-00 00:00:00:000
